ROUTE,REFPT,ENDREFPT,RUNLENGTH_FROM,RUNLENGTH_TO,SEG_LENGTH,CURVE_UPDATEYR,PRICURVE,PRICURVECLASS,SECCURVE,SECCURVECLASS,OBJECTID
025A,214.91800000000001,214.92099999999999,214.74199999999999,214.745,0.003,"2,016",-1,A,,,"6,714"
025A,214.92099999999999,214.97800000000001,214.745,214.80099999999999,0.056,"2,016",299,E,,,"6,715"
025A,214.97800000000001,215.13800000000001,214.80099999999999,214.96000000000001,0.159,"2,016",-1,A,,,"6,716"
025A,215.13800000000001,215.16300000000001,214.96000000000001,214.98500000000001,0.025,"2,016",133,F,,,"6,717"
025A,215.16300000000001,215.24199999999999,214.98500000000001,215.077,0.092,"2,016",-1,A,,,"6,718"
025A,215.24199999999999,215.26599999999999,215.077,215.09800000000001,0.021,"2,016",-113,F,,,"6,719"
025A,215.26599999999999,215.27000000000001,215.09800000000001,215.101,0.003,"2,016",-1,A,,,"6,720"
025A,215.27000000000001,215.29400000000001,215.101,215.12100000000001,0.02,"2,016",106,F,,,"6,721"
025A,215.29400000000001,215.35300000000001,215.12100000000001,215.172,0.051,"2,016",-1,A,,,"6,722"
025A,215.35300000000001,215.517,215.172,215.33699999999999,0.165,"2,016",-871,C,,,"6,723"
025A,215.517,215.53399999999999,215.33699999999999,215.35400000000001,0.017,"2,016",-1,A,,,"6,724"
025A,215.53399999999999,215.62100000000001,215.35400000000001,215.44499999999999,0.091,"2,016",-480,D,,,"6,725"
025A,215.62100000000001,215.803,215.44499999999999,215.636,0.191,"2,016",-1,A,,,"6,726"
025A,215.803,215.828,215.636,215.66200000000001,0.026,"2,016",-140,F,,,"6,727"
025A,215.828,216.005,215.66200000000001,215.84700000000001,0.185,"2,016",-1,A,,,"6,728"
025A,216.005,216.03899999999999,215.84700000000001,215.88300000000001,0.036,"2,016",193,F,,,"6,729"
025A,216.03899999999999,216.184,215.88300000000001,216.03399999999999,0.151,"2,016",-1,A,,,"6,730"
025A,216.184,216.215,216.03399999999999,216.06700000000001,0.033,"2,016",-174,F,,,"6,731"
025A,216.215,216.22200000000001,216.06700000000001,216.07400000000001,0.007,"2,016",-1,A,,,"6,732"
025A,216.22200000000001,216.27099999999999,216.07400000000001,216.125,0.051,"2,016",266,E,,,"6,733"
025A,216.27099999999999,216.273,216.125,216.12799999999999,0.003,"2,016",-1,A,,,"6,734"
025A,216.273,216.29400000000001,216.12799999999999,216.15000000000001,0.022,"2,016",-113,F,,,"6,735"
025A,216.29400000000001,216.422,216.15000000000001,216.28299999999999,0.133,"2,016",-1,A,,,"6,736"
025A,216.422,216.446,216.28299999999999,216.309,0.026,"2,016",140,F,,,"6,737"
025A,216.446,216.46100000000001,216.309,216.32400000000001,0.015,"2,016",-1,A,,,"6,738"
025A,216.46100000000001,216.489,216.32400000000001,216.35400000000001,0.03,"2,016",154,F,,,"6,739"
025A,216.489,216.535,216.35400000000001,216.40100000000001,0.047,"2,016",-1,A,,,"6,740"
025A,216.535,216.56299999999999,216.40100000000001,216.43000000000001,0.029,"2,016",159,F,,,"6,741"
025A,216.56299999999999,216.59100000000001,216.43000000000001,216.46000000000001,0.03,"2,016",-1,A,,,"6,742"
025A,216.59100000000001,216.745,216.46000000000001,216.62100000000001,0.161,"2,016",851,C,,,"6,743"
025A,216.745,216.84,216.62100000000001,216.72,0.099,"2,016",-1,A,,,"6,744"
025A,216.84,217.14500000000001,216.72,217.03899999999999,0.319,"2,016","-1,689",A,,,"6,745"
025A,217.14500000000001,217.32400000000001,217.03899999999999,217.227,0.188,"2,016",-1,A,,,"6,746"
