county,year,totalPopulation
El Paso,2011,639137
Larimer,2009,297501
Otero,2007,18941
Teller,2020,24733
Kiowa,2007,1472
Ouray,2005,4083
Chaffee,2015,18103
Crowley,2019,5843
Delta,2013,30425
Dolores,2014,2081
Garfield,2020,61779
Gunnison,2007,14950
Conejos,2012,8137
Jackson,2008,1384
Eagle,2004,46480
Washington,2013,4617
Rio Blanco,2007,6090
Montezuma,2017,25561
Crowley,2016,5838
Adams,2001,359441
Pueblo,2019,167484
San Miguel,2005,7045
Custer,2008,4119
Elbert,2018,25369
Jackson,2005,1489
Denver,2016,686466
Montezuma,2013,25482
Boulder,2005,282913
Huerfano,2009,6712
Boulder,2016,323957
Kit Carson,2005,7998
Logan,2012,22130
Chaffee,2009,17603
Costilla,2017,3518
Douglas,2000,180511
Lincoln,2004,5905
Larimer,2017,344190
Morgan,2016,28288
Broomfield,2007,53333
Phillips,2019,4523
Morgan,2005,27949
Logan,2016,21776
Jackson,2018,1377
El Paso,2008,599064
Baca,2008,3903
Ouray,2002,3905
Cheyenne,2020,1745
Moffat,2012,13214
Saguache,2010,6144
Morgan,2018,28936
Otero,2012,18816
La Plata,2012,52316
San Miguel,2007,7276
Park,2015,15974
Alamosa,2015,15887
Mesa,2010,147155
Ouray,2014,4531
Sedgwick,2016,2390
Ouray,2006,4138
Montezuma,2018,25607
Garfield,2012,56415
Otero,2011,18829
Kit Carson,2022,6823
Dolores,2004,1870
Las Animas,2010,15407
Logan,2006,22270
Douglas,2008,276743
Cheyenne,2014,1813
La Plata,2005,47710
Arapahoe,2014,618308
Montrose,2022,43391
Dolores,2011,2053
Costilla,2007,3677
Mesa,2004,126625
Kit Carson,2002,8287
Adams,2012,460471
Dolores,2000,1847
Conejos,2000,8407
Eagle,2011,52120
Mineral,2013,736
Hinsdale,2010,843
Routt,2019,24518
Eagle,2005,47278
Garfield,2019,60556
Kit Carson,2011,8165
Delta,2005,29409
San Miguel,2006,7057
Baca,2016,3508
Archuleta,2022,13898
Logan,2013,22051
Rio Blanco,2011,6739
Arapahoe,2013,607860
Eagle,2019,54815
Costilla,2003,3799
Denver,2011,620229
Chaffee,2003,16793
Cheyenne,2006,1979
Jackson,2011,1382
Teller,2007,23167
Montrose,2017,41765
Archuleta,2009,11900
Routt,2013,23576
Summit,2015,30272
Douglas,2015,322082
Kiowa,2011,1380
El Paso,2022,745186
Chaffee,2004,16943
Pitkin,2003,16275
Lincoln,2010,5474
Cheyenne,2013,1816
Denver,2009,595575
Clear Creek,2000,9360
Hinsdale,2011,841
Boulder,2019,328830
Prowers,2011,12482
Mesa,2001,119864
Gilpin,2021,5882
Yuma,2003,10093
Broomfield,2005,48250
Cheyenne,2017,1787
Costilla,2001,3740
Adams,2018,511427
San Miguel,2013,7612
Prowers,2018,11969
Larimer,2010,300532
Fremont,2006,46702
Kit Carson,2001,8078
